Type	Period	Title	ShortDescription	FundingInstitution	Program	ProjectType	WebUrl	Logo	ProjectCode	ProjectStatus	ProjectCategory	RelatedResearchAreas	TimeCreated	TimeUpdated	People	CollabEntitites	Institutions	Keywords	Description
Project	07/2017	Escenarios-PNACC	Escenarios-Plan nacional de Adaptación al Cambio Climático			National project				In progress	Research network		17 Jul 2017 - 17:46	18 Jul 2017 - 15:53				Climate change	
Project	07/2017 - 06/2018	FB-WIND	Proyecciones regionales de cambio climático para vientos extremos en España para el siglo XXI: Caracterización de valores de retorno y frecuencia de configuraciones atmosféricas de peligro	Fundación Biodiversidad - Ministerio para la Transición Ecológica	Research/Trasfer Contracts	National project			20.S073.64699	Finished	Regular project		24 Oct 2017 - 18:39	5 Nov 2021 - 12:44	Herrera, S. | Iturbide, M. | Gutiérrez, J.M. | Fernández, J.	OECC | CCS | AEMET	IFCA | UC	extreme events | Wind speed | Climate change	
Project	05/2017 - 04/2021	Regional climate projections: Access to cordex simulations for the european domain: C3S_34b - Lot 1 CORDEX4CDS	Facilitate access to and manipulation of output of regional climate projections over Europe and boundary conditions from GCM simulations needed for future regional projections.	Copernicus Climate Change Service	Research/Trasfer Contracts	European project	https://climate.copernicus.eu/tenders/copernicus-c3s34b-regional-climate-projections-extended-deadline			Finished	Regular project		22 Jun 2017 - 07:57	5 Nov 2021 - 12:46	Cofiño, A.S. | Fernández, J. | Herrera, S.	UC | SMHI | ENEA | BADC | dkrz | IPSL	UC	C3S | CDS | ESGF | climate data | Regional climate projections | Global Climate Model	
Project	01/2017 - 12/2020	INSIGNIA	Contribution to CORDEX Flagship Pilot Studies: regional climate downscaling and data publishing	Programa Estatal de Investigación, Desarrollo e Innovación Orientada a los Retos de la Sociedad	Spanish R+D Program 2013-2016	National project			CGL2016-79210-R	Finished	Regular project		14 Nov 2016 - 14:14	5 Nov 2021 - 12:43	Fernández, J. | Cofiño, A.S. | Frías, M.D. | Lavin-Gullon, A. | Milovac, J.		UC	distillation | bias correction | ESGF | CORDEX | WRF model	
Project	07/2016 - 09/2018	QA4Seas	Quality Assurance for Multi-model Seasonal Forecast Products	COPERNICUS	Research/Trasfer Contracts	European project	http://climate.copernicus.eu/quality-assurance-multi-model-seasonal-forecast-products			Finished	Regular project		28 Apr 2017 - 13:14	5 Nov 2021 - 12:45	Gutiérrez, J.M. | Manzanas, R. | Bedia, J. | San-Martín, D.		IFCA | Predictia	Model validation | bias correction | Statistical downscaling | Seasonal forecast	
Project	01/2016 - 12/2019	MULTI-SDM	MULTIivariate Statistical Downscaling Methods (spatial and/or multi-variable): Contribution to the international initiatives and to Escenarios-PNACC National Program		Spanish R+D Program 2013-2016	National project				Finished	Regular project		12 Jan 2017 - 12:17	5 Nov 2021 - 12:42	Gutiérrez, J.M. | Herrera, S.		IFCA | UC	CORDEX | Bayesian networks | machine learning | bias correction | Spatial patterns | Multivariate statistics | Statistical downscaling	
Project	05/2014 - 04/2017	INTACT	Impact of extreme weather on critical infrastructure	European Union	7th European FP	European project	http://www.intact-project.eu/index.cfm		606799	Finished	Regular project		27 May 2014 - 14:11	25 Jan 2021 - 10:15	Gutiérrez, J.M. | Herrera, S. | Bedia, J. | Manzanas, R. | Iturbide, M.		IFCA	vulnerability | climatic change | Extreme indices	
Project	05/2013 - 05/2017	IS-ENES2	InfraStructure for the European Network for Earth System Modelling		7th European FP	European project	https://is.enes.org/			In progress	Regular project		11 Oct 2012 - 10:45	20 Dec 2017 - 01:26	Cofiño, A.S. | Fernández, J. | Gutiérrez, J.M. | Vega, M.		UC	high-performance computing | model data archives | Climate change | Earth system modelling	
Project	11/2012 - 01/2017	EUPORIAS	EUropean Provision Of Regional Impact Assessment on a Seasonal-to-decadal timescale	European Union	7th European FP	European project	www.euporias.eu		308291	Finished	Regular project		30 Oct 2012 - 17:58	13 Feb 2018 - 13:40	Cofiño, A.S. | Fernández, J. | Gutiérrez, J.M. | Magariño, M.E. | Manzanas, R. | Frías, M.D.	Meteo-RO | EDF | FutureEverything | WHO | WFP | IPMA | CETaqua | METEO-France | ULUND | SMHI | UNIVLEEDS | UL-IDL | KNMI | IC3 | DWD | WU | DHI | AEMET | MeteoSwiss | ENEA | TEC | Met Office	Predictia | UC	Regional impacts | Climate change | Decadal prediction | Seasonal prediction	
Project	11/2012 - 01/2017	SPECS	Seasonal-to-decadal climate Prediction for the improvement of European Climate Services	European Union	7th European FP	European project	http://www.specs-fp7.eu		308378	In progress	Regular project		26 Feb 2013 - 12:49	20 Dec 2017 - 01:27	Gutiérrez, J.M. | Bedia, J. | Manzanas, R. | Cofiño, A.S. | Fernández, J.	UniHH | ECMWF | CSIC | UREAD | CNRS | SMHI | METOFFICE | VORTEX | Met.no | UNEXE | UNIVLEEDS | ENEA | NILU | CERFACS | MeteoF | UOXF | KNMI | MPG | INPE | IC3	IFCA | UC	European climate services | Decadal prediction | Seasonal prediction	
